150,425,
230,425,
310,425,
390,425,
230,425,
310,425,
390,425,
470,425,
310,425,
390,425,
470,425,
560,425,
390,425,
470,425,
560,405,
640,393,
470,425,
560,405,
640,393,
720,425,
560,405,
640,393,
720,411,
800,425,
640,393,
720,411,
800,425,
880,425,
720,387,
800,425,
880,414,
960,425,
800,425,
880,414,
960,425,
1040,425,
880,416,
960,425,
1040,415,
1120,405,
960,425,
1040,415,
1120,404,
1200,390,
1040,411,
1120,404,
1200,391,
1280,405,
1120,405,
1200,391,
1280,406,
1360,425,
1200,396,
1280,406,
1360,425,
1440,425,
1280,410,
1360,425,
1440,425,
1520,425,
1360,425,
1440,425,
1520,425,
1600,425,
1440,425,
1520,425,
1600,438,
1680,425,
1520,425,
1600,438,
1680,425,
1760,410,
1600,440,
1680,425,
1760,408,
1840,425,
1680,425,
1760,408,
1840,440,
1920,425,
1760,425,
1840,440,
1920,425,
2000,425,
1840,436,
1920,425,
2000,425,
2080,425,
1920,425,
2000,425,
2080,425,
2160,425,
